Name,Price,Description,Warnings,Category 1,Category 2,Category 3,Language
Enzymedica Lacto Most Advanced Dairy Digestion Formula,81.2,Advanced formula to support dairy digestion and reduce discomfort.,Consult a healthcare professional if you have any underlying health conditions or are taking medications.,Digestive Health,Indigestion,Capsules,English
Mounjaro KwikPen Tirzepatide 5mg/0.6ml,1734.0,Pre-filled injection pen for subcutaneous injection to help manage blood sugar levels.,Use only as prescribed by your doctor. Follow all instructions carefully. Store properly.,Vitamins & Supplements,Minerals,Injection,English
Itami Meciated 140Mg Patch,49.5,Provides targeted pain relief with a medicated patch.,For external use only. Avoid contact with eyes. Do not use on broken skin.,Pain & Fever,Muscle Pain,Patch/Plaster,English
Strepsils Orange with Vitamin C,28.03,Soothe your sore throat and boost your Vitamin C intake.,Do not exceed recommended dosage. Consult a doctor if symptoms persist.,"Cough, Cold & Flu",Sore Throat,Lozenges,English
Panadol Cold And Flu Vapour Release + Decongestant Hot Lemon & Honey,27.0,Relieves cold and flu symptoms with vapour release and decongestant action in a soothing hot lemon & honey drink.,Do not exceed recommended dosage. Consult a doctor if symptoms persist or if you have underlying health conditions.,"Cough, Cold & Flu",Cold,Sachets,English
Fexodine 120mg Fexofenadine Tablets,17.0,Relieves allergy and hay fever symptoms with non-drowsy antihistamine action.,Consult a doctor or pharmacist if you have kidney problems or are taking other medications.,Allergies & Sinus,Hay Fever (Allergic Rhinitis),Tablets,English
Hedrin Once Spray Gel,79.0,Kills head lice and eggs in 15 minutes with a single application spray gel.,Avoid contact with eyes. For external use only. Keep out of reach of children.,First Aid,General Antiseptic,Spray,English
Cialis 20mg Tadalafil Tablets,144.5,"Treats erectile dysfunction, helping to improve sexual function.",Use only as prescribed by your doctor. Consult a doctor if you have any heart conditions or are taking other medications.,Feminine & Sexual Health,Erectile Dysfunction,Tablets,English
Strepsils Strawberry Sugar Free,24.0,Sugar-free lozenges for soothing and effective sore throat relief.,Do not exceed recommended dosage. Consult a doctor if symptoms persist.,"Cough, Cold & Flu",Sore Throat,Lozenges,English
Glucophage XR Metformin 500g Tablets,25.0,Extended-release tablets to help manage blood sugar levels.,Use only as prescribed by your doctor. Follow all instructions carefully. Store properly.,Vitamins & Supplements,Minerals,Tablets,English
Strepsils Extra Honey & Lemon Lozenges,33.0,Soothing relief from sore throats.,Consult a doctor if symptoms persist. Keep out of reach of children.,"Cough, Cold & Flu",Sore Throat,Lozenges,English
Betadine Dry Powder Antiseptic Spray,47.0,Antiseptic spray for burns and wounds.,For external use only. Avoid contact with eyes. Keep out of reach of children.,First Aid,Burn Relief,Spray,English
O.R.S Hydration Orange Sachets,20.0,Oral rehydration solution to replenish electrolytes.,Consult a doctor if symptoms persist. Keep out of reach of children.,Children's Health,Dehydration,Sachets,English
Mounjaro KwikPen 2.5mg/0.6ml,1734.0,Pre-filled injection pen for subcutaneous injection.,Use as directed by your healthcare provider. Keep refrigerated. Keep out of reach of children.,Vitamins & Supplements,Vitamin D,Injection,English
Bella Contact Lenses Elite Green Olive,119.25,Elite Green Olive colored contact lenses.,Consult an eye care professional before use. Follow proper lens care instructions.,Eye Care,Contact Lens Related Issues,Contact Lenses Solution Type,English
Les Zamis Constipation Oral Solution,65.0,Oral solution for constipation relief.,Consult a doctor if symptoms persist. Keep out of reach of children.,Children's Health,Constipation,Syrup/Liquid,English
Otosan Nasal Spray for Baby,49.0,Nasal spray for baby's nasal congestion.,Consult a doctor if symptoms persist. Keep out of reach of children.,Children's Health,Nasal Congestion,Spray,English
Kids 0-9 Earache Oral Drops,60.0,Oral drops for earache relief in children.,Consult a doctor if symptoms persist. Keep out of reach of children.,Children's Health,Earache,Drops,English
Ducray Dexyane MeD Soothing Repair Cream,176.0,Soothes and repairs irritated skin.,For external use only. Avoid contact with eyes. Keep out of reach of children.,Skin Care,Inflammation/Irritation,Cream/Ointment,English
Eucerin AtopiControl Acute Care Cream,106.0,Relieves itching and soothes atopic dermatitis.,For external use only. Avoid contact with eyes. Keep out of reach of children.,Skin Care,Inflammation/Irritation,Cream/Ointment,English
Bioderma Atoderm Intensive Balm 200ml,88.0,"Ultra-soothing, anti-itch balm for atopic dry skin.",For external use only. Avoid contact with eyes. Keep out of reach of children.,Skin Care,Dryness/Cracking,Cream/Ointment,English
Bioderma Atoderm Intensive Balm 500ml,94.5,"Ultra-soothing, anti-itch balm for atopic dry skin.",For external use only. Avoid contact with eyes. Keep out of reach of children.,Skin Care,Dryness/Cracking,Cream/Ointment,English
Eucerin Aquaphor Soothing Ointment Spray,96.6,Relieves dry and rough skin with a soothing ointment spray.,For external use only. Avoid contact with eyes.,Skin Care,Dryness/Cracking,Spray,English
Fybogel Orange Drink Sachets,21.25,Natural fibre supplement to relieve constipation.,Consult a doctor if symptoms persist. Keep out of reach of children.,Digestive Health,Constipation,Sachets,English
Orsalit With Banana Flavour Sachet,45.0,Oral rehydration solution with banana flavour to replenish electrolytes.,Use under medical supervision. Follow preparation instructions carefully.,Children's Health,Dehydration,Sachets,English
Orsalit Nutris Sachet,45.0,Oral rehydration solution to replenish electrolytes.,Use under medical supervision. Follow preparation instructions carefully.,Children's Health,Dehydration,Sachets,English
Orsalit Adults Sachet,45.0,Oral rehydration solution to replenish electrolytes for adults.,Use under medical supervision. Follow preparation instructions carefully.,Digestive Health,Diarrhea,Sachets,English
Children's Claritin Grape Syrup,31.0,24-hour allergy relief for children with a grape flavor.,Use as directed. Consult a doctor if symptoms persist.,Children's Health,Allergies,Syrup/Liquid,English
Prime Calamine Lotion,14.0,Soothes skin irritation with calamine lotion.,For external use only. Avoid contact with eyes.,Skin Care,Inflammation/Irritation,Lotion,English
Sinomarin Isotonic Children Nasal Spray,41.0,Relieves nasal congestion in children with an isotonic nasal spray.,Consult a doctor if symptoms persist. Keep out of reach of children.,Children's Health,Nasal Congestion,Spray,English
Palmer's Cocoa Butter Massage Lotion Stretch Marks,52.0,Helps reduce the appearance of stretch marks with cocoa butter massage lotion.,For external use only. Avoid contact with eyes.,Skin Care,Scarring,Lotion,English
Palmer's Cocoa Butter Massage Cream Stretch Marks,59.0,Helps reduce the appearance of stretch marks with cocoa butter massage cream.,For external use only. Avoid contact with eyes.,Skin Care,Scarring,Cream/Ointment,English
Palmer's Cocoa Butter Formula Soothes Marks,46.0,Soothes marks and scars with cocoa butter formula.,For external use only. Avoid contact with eyes.,Skin Care,Scarring,Cream/Ointment,English
Ego QV Flare Up Cream,79.0,Relieves eczema and dermatitis flare-ups.,"For external use only. Avoid contact with eyes. If irritation occurs, discontinue use.",Skin Care,Inflammation/Irritation,Cream/Ointment,English
Uriage Xemose SOS Anti-Itch Mist,184.0,Soothes and relieves itching with a convenient mist.,Avoid contact with eyes. Keep out of reach of children. For external use only.,Skin Care,Inflammation/Irritation,Spray,English
Uriage Xemose Anti Itch Soothing Oil Balm,210.0,"Soothes and nourishes dry, itchy skin with shea butter.",Avoid contact with eyes. Keep out of reach of children. For external use only.,Skin Care,Dryness/Cracking,Cream/Ointment,English
O.R.S Orange Sport Hydration Tablets,43.0,Replenishes electrolytes and fluids lost during sports activities.,Dissolve in water as directed. Consult a doctor if symptoms persist.,Vitamins & Supplements,Minerals,Tablets,English
Hydralyte Orange Flavored Ice Blocks,64.0,Rehydrates and replenishes electrolytes with a refreshing orange flavor.,Consult a doctor if dehydration symptoms persist. Use as directed.,Children's Health,Dehydration,Kids/Infant,English
Hydralyte Black Currant Flavored Ice Blocks,64.0,Rehydrates and replenishes electrolytes with a refreshing black currant flavor.,Consult a doctor if dehydration symptoms persist. Use as directed.,Children's Health,Dehydration,Kids/Infant,English
Hansaplast Foot Sooth Foot Cream,42.0,"Soothes and moisturizes dry, cracked feet.",For external use only. Keep out of reach of children. Avoid contact with eyes.,Skin Care,Dryness/Cracking,Cream/Ointment,English
Zyrtec Oral Drops,22.0,"Relieves allergy symptoms like sneezing, runny nose, and itchy eyes.",May cause drowsiness. Consult a doctor before use if pregnant or breastfeeding.,Allergies & Sinus,Allergies,Drops,English
Zyrtec Oral Solution,17.5,"Relieves allergy symptoms like sneezing, runny nose, and itchy eyes.",May cause drowsiness. Consult a doctor before use if pregnant or breastfeeding.,Allergies & Sinus,Allergies,Syrup/Liquid,English
Fyto Lactofibre Syrup,38.0,Promotes healthy digestion and regularity with natural fiber.,Consult a doctor if constipation persists. Keep out of reach of children.,Digestive Health,Constipation,Syrup/Liquid,English
Fytosel Ors,45.0,Oral rehydration salts to replenish fluids and electrolytes.,Dissolve in water as directed. Consult a doctor if symptoms persist.,Digestive Health,Diarrhea,Sachets,English
Carbogastro Natural Cap,41.0,Relieves gas and bloating with natural ingredients.,Consult a doctor if symptoms persist. Keep out of reach of children.,Digestive Health,Gas/Bloating,Capsules,English
Dr. Scholl's Duragel Corn Cushion,24.0,Provides immediate and all-day pain relief for corns.,"For external use only. If irritation occurs, discontinue use.",First Aid,Wound Care,Cream/Ointment,English
Rexsol Bust Beauty Cream,165.2,"Firms, lifts, and tones the bust area.",For external use only. Avoid contact with eyes. Discontinue use if irritation occurs.,Skin Care,Inflammation/Irritation,Cream/Ointment,English
Rexsol Cellulite Control Cream,176.4,Body shaping cream to control cellulite.,For external use only. Avoid contact with eyes. Discontinue use if irritation occurs.,Skin Care,Inflammation/Irritation,Cream/Ointment,English
Nurofen Junior Fever & Pain Relief Strawberry,15.5,Relieves fever and pain in children with a strawberry flavor.,Do not exceed the recommended dose. Consult a doctor if symptoms persist.,Children's Health,Fever,Syrup/Liquid,English
Kobayashi Koolfever Child Patches,22.0,Provides cooling relief for children's fever.,For external use only. Do not apply to irritated skin or open wounds. Use under adult supervision.,Children's Health,Fever,Patch/Plaster,English
Mustela Stretch Marks Prevention Oil,110.0,Helps prevent stretch marks during pregnancy.,For external use only. Avoid contact with eyes. Discontinue use if irritation occurs.,Skin Care,Scarring,Oil,English
DORA SYRUP,19.5,Treats indicated condition (consult doctor for use).,Consult a doctor before use. Keep out of reach of children. Follow dosage instructions carefully.,Children's Health,,Syrup/Liquid,English
Bio Oil Skincare Oil,82.5,Improves the appearance of scars and stretch marks.,For external use only. Avoid contact with eyes. Discontinue use if irritation occurs.,Skin Care,Scarring,Oil,English
Homeocan Kids 0-9 Allergies,65.0,Homeopathic relief for children's allergy symptoms.,Consult a healthcare professional if symptoms worsen or persist. Keep out of reach of children.,Children's Health,Allergies,Syrup/Liquid,English
Lorinase Syrup,23.0,Relieves allergy symptoms.,May cause drowsiness. Consult a doctor if symptoms persist.,Allergies & Sinus,Hay Fever (Allergic Rhinitis),Syrup/Liquid,English
Homeocan Kids 0-9 Flu Buster,65.0,Homeopathic relief for children's flu symptoms.,Consult a healthcare professional if symptoms worsen or persist. Keep out of reach of children.,Children's Health,Flu,Syrup/Liquid,English
Homeocan Kids 0-9 Pain & Fever,60.0,Homeopathic relief for children's pain and fever.,Consult a healthcare professional if symptoms worsen or persist. Keep out of reach of children.,Children's Health,Fever,Syrup/Liquid,English
Kool Fever Babies Patches,24.0,Provides cooling relief for babies' fever.,For external use only. Do not apply to irritated skin or open wounds. Use under adult supervision.,Children's Health,Fever,Patch/Plaster,English
